SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2,MeanMotion,Eccentricity,OrbitClass
8195,MOLNIYA 2-14,1975,712.49,-1.0,UNK,63.54,Inactive,0,MEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 08195U 75081A   24054.26328191  .00000059  00000+0  00000+0 0  9993,2 08195  63.5417 124.2685 6693834 289.5151  12.9953  2.02106316355338,2.02106316,0.6693834,MEO
5,VANGUARD 1,1958,132.69,-1.0,UNK,34.26,Inactive,0,MEO,USA,USA,Unknown,Unknown,Vanguard,1 00005U 58002B   24054.68468371  .00000660  00000+0  83098-3 0  9990,2 00005  34.2590  40.1768 1841138 291.8463  49.6732 10.85207996351574,10.85207996,0.1841138,MEO
8197,KIKU-1 (ETS-I),1975,105.92,-1.0,-,46.99,Inactive,0,LEO,Japan,Japan,Unknown,Unknown,Unknown,1 08197U 75082A   24054.31443494 -.00000104  00000+0  29635-4 0  9998,2 08197  46.9901  32.8833 0085495  22.6112 119.3839 13.59555183407457,13.59555183,0.0085495,LEO
32779,TIANLIAN 1-01,2008,1478.24,3750.0,-,8.07,Inactive,1,GSO,PRC,China,Government,Communications,Long March,1 32779U 08019A   24054.42600322 -.00000084  00000+0  00000+0 0  9991,2 32779   8.0695  68.0220 0007579 236.8584 107.8410  0.97413577  7124,0.97413577,0.0007579,GSO
11,VANGUARD 2,1959,121.24,-1.0,UNK,32.88,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown,1 00011U 59001A   24054.28862605  .00002325  00000+0  12250-2 0  9992,2 00011  32.8765  37.3306 1457623 296.9351  48.9711 11.87704739434840,11.87704739,0.1457623,LEO
32781,GIOVE-B,2008,870.59,-1.0,-,59.22,Inactive,0,MEO,Kazakhstan,ESA,Unknown,Unknown,Unknown,1 32781U 08020A   24047.36040578 -.00000036  00000+0  00000+0 0  9999,2 32781  59.2146  58.2193 0005062 272.8970  87.0783  1.65405160 96350,1.6540516,0.0005062,MEO
32784,NTS (CANX-6),2008,96.49,-1.0,-,97.78,Inactive,0,LEO,India,Canada,Unknown,Unknown,Unknown,1 32784U 08021B   24054.45904160  .00004376  00000+0  43295-3 0  9994,2 32784  97.7779  18.9360 0013818  29.8951 330.3054 14.92321877857725,14.92321877,0.0013818,LEO
32786,IMS-1,2008,96.55,-1.0,-,97.83,Inactive,0,LEO,India,India,Unknown,Unknown,PSLV,1 32786U 08021D   24054.83773044  .00005491  00000+0  55424-3 0  9999,2 32786  97.8270  20.9706 0012778  83.1032 277.1640 14.91420624856826,14.91420624,0.0012778,LEO
32787,COMPASS-1,2008,95.51,-1.0,-,97.61,Inactive,0,LEO,India,Germany,Unknown,Unknown,Unknown,1 32787U 08021E   24054.45245791  .00011978  00000+0  78760-3 0  9996,2 32787  97.6121  31.5453 0008754 224.6098 135.4426 15.07703410860424,15.0770341,0.0008754,LEO
20,VANGUARD 3,1959,124.33,-1.0,UNK,33.35,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown,1 00020U 59007A   24054.29896577  .00001212  00000+0  47819-3 0  9998,2 00020  33.3506  61.2505 1654981 215.2713 132.6469 11.58161717386442,11.58161717,0.1654981,LEO
