SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
900,CALSPHERE 1,1964,Active,+,LEO,-1.0,0,104.82,USA,USA,Unknown,Unknown,Unknown,1 00900U 64063C   22110.77776522  .00000600  00000+0  63107-3 0  9992,2 00900  90.1768  39.8497 0025630 191.0651 254.2857 13.73750226862747
902,CALSPHERE 2,1964,Active,+,LEO,-1.0,0,106.45,USA,USA,Unknown,Unknown,Unknown,1 00902U 64063E   22110.62140229  .00000046  00000+0  56635-4 0  9990,2 00902  90.1909  42.8822 0017114 321.0162 158.6736 13.52711666650955
1361,LCS 1,1965,Active,+,MEO,-1.0,0,145.56,USA,USA,Unknown,Unknown,Unknown,1 01361U 65034C   22110.86258159  .00000018  00000+0  12974-2 0  9992,2 01361  32.1374 182.0335 0013392  32.6262 327.5061  9.89301386 59526
1512,TEMPSAT 1,1965,Active,+,LEO,-1.0,0,107.99,USA,USA,Unknown,Unknown,Unknown,1 01512U 65065E   22110.52483396  .00000046  00000+0  73210-4 0  9993,2 01512  89.9144 219.1353 0069782 191.6472 182.1911 13.33448607757654
1520,CALSPHERE 4A,1965,Active,+,LEO,-1.0,0,107.79,USA,USA,Unknown,Unknown,Unknown,1 01520U 65065H   22110.75020145  .00000071  00000+0  11838-3 0  9991,2 01520  89.9918 130.2022 0071410  66.9887 345.9877 13.35880121759951
2826,OPS 5712 (P/L 160),1967,Active,+,LEO,-1.0,0,99.29,USA,USA,Unknown,Unknown,Unknown,1 02826U 67053A   22110.81419940  .00002983  00000+0  77992-3 0  9999,2 02826  69.9292  64.3046 0002989  68.2745 291.8706 14.50306965844378
2866,LES-5,1967,Active,P,MEO,-1.0,0,1315.96,USA,USA,Unknown,Unknown,Unknown,1 02866U 67066E   22110.81429021 -.00000059  00000+0  00000+0 0  9993,2 02866   1.4190 247.3961 0053418  37.2867 221.2362  1.09425162114414
2872,SURCAL 159,1967,Active,+,LEO,-1.0,0,102.94,USA,USA,Unknown,Unknown,Unknown,1 02872U 67053F   22110.50550020  .00000086  00000+0  96806-4 0  9999,2 02872  69.9770  29.0134 0009029 287.5150  72.4970 13.98897036797765
2874,OPS 5712 (P/L 153),1967,Active,+,LEO,-1.0,0,103.12,USA,USA,Unknown,Unknown,Unknown,1 02874U 67053H   22111.19231166  .00000005  00000+0  41981-4 0  9999,2 02874  69.9713 127.7939 0007499 344.8538  15.2342 13.96397314795318
2909,SURCAL 150B,1967,Active,+,LEO,-1.0,0,98.4,USA,USA,Unknown,Unknown,Unknown,1 02909U 67053J   22110.85652380  .00004713  00000+0  91921-3 0  9993,2 02909  69.9495  56.4424 0002056 148.0698 212.0568 14.63576000855181
5398,RIGIDSPHERE 2 (LCS 4),1971,Active,+,LEO,-1.0,0,100.41,USA,USA,Unknown,Unknown,Unknown,1 05398U 71067E   22111.20100809  .00000545  00000+0  18429-3 0  9993,2 05398  87.6269  38.7694 0061692 212.5911 147.1473 14.34180106656289
7530,OSCAR 7 (AO-7),1974,Active,P,LEO,29.0,1,114.86,USA,USA,Civil,Communications,Delta,1 07530U 74089B   22110.74900812 -.00000038  00000+0  50814-4 0  9993,2 07530 101.9010  90.4458 0012358 150.8749  24.5557 12.53654228170231
7646,STARLETTE,1975,Active,+,LEO,-1.0,0,104.17,French Guiana,France,Unknown,Unknown,Unknown,1 07646U 75010A   22110.92479093 -.00000135  00000+0  80096-5 0  9992,2 07646  49.8244 337.2707 0205692  87.5410 274.9013 13.82311641384522
8820,LAGEOS 1,1976,Active,+,MEO,-1.0,0,225.47,USA,USA,Unknown,Unknown,Unknown,1 08820U 76039A   22110.66583858 -.00000004  00000+0  00000+0 0  9991,2 08820 109.8621  19.1991 0045059 267.1351 220.9865  6.38665049816166
14129,PHASE 3B (AO-10),1983,Active,P,MEO,-1.0,0,699.47,French Guiana,Germany,Unknown,Unknown,Unknown,1 14129U 83058B   22109.98979740 -.00000197  00000+0  00000+0 0  9994,2 14129  26.4127 105.7813 5989279  66.4665 344.1258  2.05870434264202
14781,UOSAT 2 (UO-11),1984,Active,P,LEO,-1.0,0,97.07,USA,UK,Unknown,Unknown,Unknown,1 14781U 84021B   22111.19142841  .00000941  00000+0  12027-3 0  9991,2 14781  97.6155 101.2485 0009307 141.4536 218.7345 14.83561089 52552
16908,AJISAI (EGS),1986,Active,+,LEO,-1.0,0,115.71,Japan,Japan,Unknown,Unknown,Unknown,1 16908U 86061A   22111.17067083 -.00000103  00000+0 -37852-4 0  9998,2 16908  50.0069 135.1750 0011348 276.3776 192.0808 12.44496294291716
19548,TDRS 3,1988,Active,+,GEO,3180.0,1,1436.17,USA,USA,Government,Communications,Space Shuttle STS,1 19548U 88091B   22110.51670918 -.00000303  00000+0  00000+0 0  9991,2 19548  13.7574 351.7762 0037677 334.8472  18.9854  1.00278568110136
19751,COSMOS 1989 (ETALON 1),1989,Active,+,MEO,-1.0,0,675.56,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown,1 19751U 89001C   22110.84780903  .00000064  00000+0  00000+0 0  9994,2 19751  64.2899 124.3679 0023712 213.2040 317.6603  2.13156241259009
20026,COSMOS 2024 (ETALON 2),1989,Active,+,MEO,-1.0,0,675.41,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown,1 20026U 89039C   22110.50768137 -.00000065  00000+0  00000+0 0  9992,2 20026  65.5448   2.3471 0018346 218.9603 311.0315  2.13204202256128
20253,FLTSATCOM 8 (USA 46),1989,Active,+,GEO,2310.0,1,1436.08,USA,USA,Military,Communications,Atlas,1 20253U 89077A   22110.72479990 -.00000082  00000+0  00000+0 0  9995,2 20253  12.8773   0.6186 0006172  79.3234 101.6462  1.00270495245376
20442,LUSAT (LO-19),1990,Active,P,LEO,-1.0,0,100.49,French Guiana,Argentina,Unknown,Unknown,Unknown,1 20442U 90005G   22110.63851289  .00000128  00000+0  63605-4 0  9998,2 20442  98.7886  74.6347 0011436 344.2240  15.8586 14.33043181684824
20580,HST,1990,Active,+,LEO,11110.0,1,95.35,USA,USA,Government,Space Science,Space Shuttle STS,1 20580U 90037B   22110.68847672  .00002585  00000+0  14292-3 0  9998,2 20580  28.4693 191.4921 0002899 128.7696   4.6328 15.10310074557476
