Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
1HOPSAT-TD,USA,Hera Systems,Commercial,Earth Observation,Infrared Imaging,LEO,Non-Polar Inclined,2019-12-11 00:00:00,22.0,,,0.5,PSLV,44859
Aalto-1,Finland,Aalto University,Civil,Technology Development,,LEO,Sun-Synchronous,2017-06-23 00:00:00,4.5,,4.5,2.0,PSLV,42775
AAt-4,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2016-04-25 00:00:00,1.0,,,,Soyuz-2.1a,41460
ABS-2,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,2014-02-06 00:00:00,6330.0,,16000,15.0,Ariane 5 ECA,39508
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,2016-06-15 00:00:00,1800.0,,,15.0,Falcon 9,41588
ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,2015-03-02 00:00:00,2000.0,,,15.0,Falcon 9,40424
ABS-4,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,2004-03-13 00:00:00,4143.0,1700,7400,12.0,Atlas 3,28184
ABS-6,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,1999-09-26 00:00:00,2894.0,1730,"6,800 (EOL)",15.0,Proton,25924
Adelis-Sampson 1,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,2021-03-22 00:00:00,9.0,,,,Soyuz-2.1a,47937
Adelis-Sampson 2,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,2021-03-22 00:00:00,9.0,,,,Soyuz-2.1a,47939
Adelis-Sampson 3,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,,LEO,Sun-Synchronous,2021-03-22 00:00:00,9.0,,,,Soyuz-2.1a,47943
USA 311,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2020-12-11 00:00:00,5400.0,,,,Delta 4 Heavy,47237
USA 139,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,1998-05-09 00:00:00,5200.0,,,,Titan IVA,25336
USA 171,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2003-09-09 00:00:00,5200.0,,,,Titan IV,27937
USA 202,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2009-01-18 00:00:00,5400.0,,,,Delta 4 Heavy,33490
USA 223,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2010-11-21 00:00:00,5000.0,,,,Delta 4 Heavy,37232
USA 237,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2012-06-29 00:00:00,5000.0,,,,Delta 4 Heavy,38528
USA 268,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,2016-06-11 00:00:00,5000.0,,,,Delta 4 Heavy,41584
USA 246,USA,US Air Force,Military,Communications,,GEO,,2013-09-18 00:00:00,6169.0,,,14.0,Atlas 5,39256
USA 288,USA,US Air Force,Military,Communications,,GEO,,2018-10-17 00:00:00,6169.0,,,,Atlas 5,43651
USA 292,USA,US Air Force,Military,Communications,,GEO,,2019-08-08 00:00:00,6169.0,,,,Atlas 5,44481
USA 298,USA,US Air Force ,Military,Communications,,GEO,,2020-03-26 00:00:00,6169.0,,,,Atlas 5,45465
USA 235,USA,US Air Force,Military,Communications,,GEO,,2012-05-03 00:00:00,6169.0,,,14.0,Atlas 5,38254
Aeneas,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,2012-09-13 00:00:00,3.0,,,,Atlas 5,38760
Aeolus,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,2018-08-22 00:00:00,1367.0,,,3.0,Vega,43600
Aerocube 10A,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2019-08-09 00:00:00,2.0,,,,Nanorack Deployer,44485
Aerocube 10B,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2019-08-09 00:00:00,2.0,,,,Nanorack Deployer,44484
Aerocube 11A,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,2018-12-17 00:00:00,4.0,,,,Electron,43861
Aerocube 11B,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,2018-12-17 00:00:00,4.0,,,,Electron,43849
Aerocube 12A,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2018-07-16 00:00:00,4.0,,,,Nanorack Deployer,43556
Aerocube 12B,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2018-07-16 00:00:00,4.0,,,,Nanorack Deployer,43557
Aerocube 14A,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,2020-01-31 00:00:00,,,,,Nanorack Deployer,45114
Aerocube 14B,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,2020-01-31 00:00:00,,,,,Nanorack Deployer,45116
Aerocube 15A,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,2020-01-31 00:00:00,,,,,Nanorack Deployer,45117
Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2015-10-08 00:00:00,1.5,,,,Atlas 5,40965
Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2014-06-19 00:00:00,5.0,,,3.0,Dnepr,40045
Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2014-06-19 00:00:00,5.0,,,3.0,Dnepr,40046
Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,2015-10-08 00:00:00,2.0,,,,Atlas 5,40966
Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2016-11-11 00:00:00,5.0,,,,Atlas 5,41853
Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,2016-11-11 00:00:00,2.0,,,,Atlas 5,41852
Eutelsat 48D,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,2008-12-20 00:00:00,3460.0,1555,7000,15.0,Ariane 5,33460
AII-Bravo,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,2021-04-29 00:00:00,9.0,,,,Vega W18,48270
AII-Charlie,Lithuania,Aurora Insight,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,9.0,,,,Falcon 9,47440
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,2007-04-25 00:00:00,215.0,197,216,2.0,Pegasus XL,31304
AISSat-1,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2010-07-12 00:00:00,6.0,,,3.0,PSLV,36797
AISSat-2,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,2014-07-08 00:00:00,6.0,,,3.0,Soyuz-2.1b,40075
AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2018-12-03 00:00:00,2.6,,,,Falcon 9,43768
AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,2019-04-01 00:00:00,2.3,,,,PSLV,44103
